iter	Passed	Remaining
680	55385	25944
681	55461	25860
682	55552	25783
683	55618	25694
684	55702	25615
685	55780	25532
686	55859	25449
687	55952	25373
688	56042	25296
689	56123	25214
690	56191	25127
691	56279	25049
692	56367	24970
693	56454	24892
694	56535	24810
695	56628	24734
696	56706	24651
697	56781	24567
698	56874	24491
699	56947	24405
700	57019	24320
701	57102	24240
702	57182	24158
703	57274	24081
704	57363	24003
705	57432	23916
706	57512	23834
707	57602	23756
708	57697	23681
709	57784	23602
710	57862	23519
711	57948	23439
712	58025	23356
713	58111	23277
714	58181	23191
715	58265	23110
716	58354	23032
717	58423	22946
718	58500	22863
719	58592	22786
720	58681	22707
721	58765	22627
722	58829	22538
723	58923	22462
724	58990	22375
725	59069	22293
726	59152	22212
727	59242	22134
728	59325	22053
729	59408	21973
730	59497	21894
731	59581	21813
732	59672	21736
733	59762	21657
734	59843	21576
735	59932	21497
736	60031	21422
737	60115	21341
738	60199	21261
739	60270	21176
740	60372	21101
741	60454	21020
742	60533	20938
743	60645	20867
744	60735	20788
745	60808	20704
746	60896	20624
747	60983	20545
748	61071	20465
749	61147	20382
750	61226	20300
751	61299	20215
752	61375	20132
753	61450	20048
754	61548	19972
755	61643	19895
756	61728	19815
757	61806	19732
758	61882	19649
759	61992	19576
760	62070	19493
761	62147	19410
762	62230	19329
763	62310	19247
764	62397	19167
765	62487	19088
766	62567	19006
767	62647	18924
768	62780	18858
769	62863	18777
770	62940	18694
771	63023	18613
772	63123	18536
773	63203	18454
774	63274	18369
775	63339	18283
776	63413	18199
777	63494	18117
778	63577	18036
779	63651	17953
780	63728	17870
781	63819	17791
782	63922	17715
783	64020	17638
784	64109	17558
785	64203	17480
786	64287	17399
787	64383	17321
788	64457	17237
789	64555	17160
790	64646	17080
791	64731	17000
792	64819	16920
793	64900	16838
794	64986	16757
795	65065	16675
796	65136	16590
797	65225	16510
798	65317	16431
799	65394	16348
800	65470	16265
801	65561	16185
802	65642	16104
803	65724	16022
804	65810	15941
805	65891	15859
806	65967	15776
807	66040	15692
808	66132	15613
809	66212	15531
810	66295	15449
811	66386	15370
812	66470	15289
813	66558	15208
814	66640	15126
815	66739	15049
816	66828	14968
817	66917	14888
818	66990	14804
819	67070	14722
820	67147	14640
821	67236	14559
822	67314	14477
823	67385	14392
824	67474	14312
825	67562	14232
826	67658	14153
827	67734	14070
828	67829	13991
829	67915	13910
830	67995	13828
831	68088	13748
832	68182	13669
833	68269	13588
834	68347	13505
835	68435	13425
836	68514	13342
837	68597	13261
838	68679	13179
839	68763	13097
840	68856	13018
841	68946	12937
842	69030	12856
843	69112	12774
844	69192	12692
845	69283	12611
846	69365	12529
847	69445	12447
848	69535	12367
849	69616	12285
850	69700	12203
851	69789	12123
852	69878	12042
853	69959	11960
854	70039	11878
855	70116	11795
856	70216	11716
857	70293	11633
858	70381	11552
859	70478	11473
860	70575	11393
861	70646	11309
862	70756	11232
863	70839	11150
864	70968	11076
865	71054	10994
866	71130	10911
867	71220	10830
868	71309	10749
869	71390	10667
870	71474	10585
871	71562	10504
872	71651	10423
873	71740	10342
874	71829	10261
875	71898	10177
876	71984	10095
877	72065	10013
878	72156	9932
879	72227	9849
880	72326	9769
881	72416	9688
882	72495	9605
883	72598	9526
884	72680	9444
885	72769	9363
886	72813	9276
887	72896	9194
888	73003	9115
889	73091	9033
890	73168	8951
891	73252	8869
892	73340	8787
893	73428	8706
894	73505	8623
895	73598	8542
896	73674	8459
897	73755	8377
898	73835	8295
899	73908	8212
900	74005	8131
901	74091	8049
902	74162	7966
903	74243	7884
904	74333	7802
905	74416	7720
906	74494	7638
907	74590	7557
908	74670	7475
909	74755	7393
910	74844	7311
911	74920	7229
912	75036	7150
913	75121	7068
914	75203	6986
915	75292	6904
916	75385	6823
917	75466	6741
918	75551	6659
919	75650	6578
920	75739	6496
921	75816	6413
922	75902	6332
923	75975	6249
924	76068	6167
925	76142	6084
926	76219	6002
927	76316	5921
928	76398	5838
929	76481	5756
930	76527	5671
931	76608	5589
932	76686	5506
933	76772	5425
934	76846	5342
935	76942	5261
936	77017	5178
937	77108	5096
938	77204	5015
939	77279	4932
940	77362	4850
941	77442	4768
942	77539	4686
943	77624	4604
944	77702	4522
945	77787	4440
946	77867	4357
947	77943	4275
948	78053	4194
949	78131	4112
950	78223	4030
951	78307	3948
952	78381	3865
953	78462	3783
954	78537	3700
955	78615	3618
956	78701	3536
957	78762	3453
958	78855	3371
959	78928	3288
960	79023	3206
961	79104	3124
962	79190	3042
963	79271	2960
964	79353	2878
965	79429	2795
966	79515	2713
967	79593	2631
968	79667	2548
969	79765	2466
970	79853	2384
971	79934	2302
972	80028	2220
973	80105	2138
974	80239	2057
975	80324	1975
976	80412	1893
977	80493	1810
978	80578	1728
979	80669	1646
980	80764	1564
981	80850	1481
982	80941	1399
983	81032	1317
984	81115	1235
985	81194	1152
986	81283	1070
987	81364	988
988	81445	905
989	81518	823
990	81593	741
991	81675	658
992	81758	576
993	81846	494
994	81933	411
995	82023	329
996	82102	247
997	82187	164
998	82274	82
999	82355	0
